0 42 [array([1, 0, 0, 2]), array([1, 1, 2, 2]), array([0, 2, 2, 0]), array([1, 0, 1, 1]), array([0, 2, 4, 0])]
0 43 [array([2, 0, 0, 4]), array([1, 0, 1, 1]), array([2, 0, 1, 3]), array([1, 1, 0, 2]), array([0, 2, 4, 0])]
0 44 [array([1, 0, 0, 1]), array([0, 0, 1, 1]), array([0, 0, 0, 2]), array([0, 2, 3, 0]), array([0, 1, 0, 2])]
0 45 [array([1, 1, 0, 2]), array([0, 2, 2, 1]), array([0, 0, 0, 1]), array([1, 0, 0, 1]), array([2, 0, 4, 0])]
0 46 [array([0, 0, 2, 0]), array([0, 2, 0, 3]), array([0, 2, 1, 0]), array([0, 2, 2, 2]), array([1, 0, 1, 1])]
0 47 [array([1, 1, 3, 1]), array([0, 2, 2, 2]), array([0, 0, 1, 0]), array([0, 0, 0, 2]), array([1, 1, 2, 2])]
0 48 [array([0, 2, 3, 1]), array([2, 0, 0, 1]), array([2, 0, 3, 1]), array([0, 1, 1, 0]), array([0, 2, 1, 1])]
0 49 [array([0, 0, 2, 0]), array([0, 2, 2, 2]), array([0, 2, 0, 3]), array([2, 0, 0, 4]), array([1, 1, 2, 1])]
0 50 [array([0, 1, 1, 1]), array([1, 1, 1, 2]), array([2, 0, 3, 1]), array([0, 2, 0, 4]), array([1, 1, 1, 3])]
0 51 [array([0, 2, 4, 0]), array([2, 0, 1, 2]), array([1, 1, 2, 0]), array([0, 2, 3, 0]), array([2, 0, 1, 1])]
0 52 [array([1, 1, 0, 1]), array([0, 2, 2, 1]), array([1, 0, 0, 0]), array([2, 0, 1, 3]), array([2, 0, 0, 3])]
0 53 [array([0, 2, 1, 3]), array([0, 0, 0, 2]), array([0, 1, 1, 0]), array([0, 0, 0, 1]), array([0, 2, 2, 2])]
0 54 [array([0, 2, 1, 3]), array([0, 2, 1, 2]), array([0, 2, 2, 0]), array([1, 1, 2, 2]), array([2, 0, 0, 4])]
0 55 [array([2, 0, 2, 1]), array([1, 0, 0, 0]), array([0, 2, 1, 2]), array([0, 2, 1, 1]), array([1, 1, 0, 4])]
0 56 [array([1, 1, 1, 2]), array([0, 2, 1, 1]), array([0, 2, 3, 1]), array([1, 1, 2, 0]), array([1, 1, 0, 2])]
0 57 [array([0, 2, 0, 0]), array([1, 1, 2, 0]), array([1, 1, 2, 2]), array([2, 0, 3, 0]), array([1, 1, 1, 0])]
0 58 [array([2, 0, 0, 0]), array([1, 0, 0, 1]), array([2, 0, 0, 2]), array([1, 0, 1, 1]), array([0, 1, 1, 1])]
0 59 [array([2, 0, 1, 1]), array([1, 1, 1, 3]), array([0, 2, 1, 0]), array([2, 0, 4, 0]), array([0, 1, 1, 1])]
0 60 [array([2, 0, 0, 4]), array([1, 1, 3, 0]), array([1, 1, 0, 3]), array([0, 0, 1, 0]), array([0, 2, 1, 3])]
0 61 [array([0, 2, 3, 1]), array([1, 1, 4, 0]), array([1, 0, 1, 1]), array([1, 1, 2, 2]), array([1, 1, 3, 0])]
0 62 [array([0, 2, 2, 0]), array([0, 2, 0, 4]), array([1, 1, 2, 2]), array([1, 0, 0, 1]), array([0, 0, 2, 0])]
